	FullSampleName	TissueCode
0	22358H0	H
1	22369B0	B
2	22369E0	E
3	22369H0	H
4	22369P0	P
5	22378B0	B
6	22378E0	E
7	22378H0	H
8	22378P0	P
9	22380B0	B
10	22380E0	E
11	22380H0	H
12	22380P0	P
13	22386B0	B
14	22386E0	E
15	22386H0	H
16	22386P0	P
17	22389B0	B
18	22389E0	E
19	22389H0	H
20	22389P0	P
21	22390B0	B
22	22390E0	E
23	22390H0	H
24	22390P0	P
25	22392B0	B
26	22392E0	E
27	22392H0	H
28	22402B0	B
29	22402E0	E
30	22402H0	H
31	22402P0	P
32	22409B0	B
33	22409H0	H
34	22409P0	P
35	22456B0	B
36	22456E0	E
37	22456H0	H
38	22456P0	P
39	22457B0	B
40	22457H0	H
41	22457P0	P
42	22458B0	B
43	22458H0	H
44	22458P0	P
45	22469B0	B
46	22469E0	E
47	22469H0	H
